Month,Project,Revenue,COGS,Salaries,Rent,Marketing,Utilities,Other_Expenses,Operating_Expenses,Net_Profit
2023-01,Project A,"$12,270.00","$6,613.07","$3,294.00","$1,000.00","$1,630.00",$371.00,$320.00,"$6,615.00",-$958.07
2023-01,Project B,"$10,734.00","$4,655.87","$3,238.00","$1,000.00",$830.00,$758.00,$387.00,"$6,213.00",-$134.87
2023-01,Project C,"$16,636.00","$7,990.84","$2,130.00","$1,000.00","$1,832.00",$557.00,$643.00,"$6,162.00","$2,483.16"
2023-02,Project A,"$18,803.00","$10,935.18","$4,433.00","$1,000.00","$1,715.00",$743.00,$576.00,"$8,467.00",-$599.18
2023-02,Project B,"$6,184.00","$2,419.63","$2,021.00","$1,000.00",$752.00,$535.00,$860.00,"$5,168.00","-$1,403.63"
2023-02,Project C,"$13,666.00","$6,608.27","$4,047.00","$1,000.00","$1,999.00",$487.00,$489.00,"$8,022.00",-$964.27
2023-03,Project A,"$7,734.00","$3,754.98","$3,899.00","$1,000.00","$1,767.00",$619.00,$804.00,"$8,089.00","-$4,109.98"
2023-03,Project B,"$16,394.00","$9,147.56","$2,646.00","$1,000.00",$520.00,$628.00,$466.00,"$5,260.00","$1,986.44"
2023-03,Project C,"$10,393.00","$6,076.43","$4,363.00","$1,000.00",$513.00,$541.00,$645.00,"$7,062.00","-$2,745.43"
2023-04,Project A,"$7,612.00","$2,810.87","$4,139.00","$1,000.00","$1,890.00",$743.00,$754.00,"$8,526.00","-$3,724.87"
2023-04,Project B,"$15,748.00","$8,660.75","$2,034.00","$1,000.00",$705.00,$380.00,$861.00,"$4,980.00","$2,107.25"
2023-04,Project C,"$8,943.00","$4,709.46","$3,021.00","$1,000.00","$1,913.00",$353.00,$405.00,"$6,692.00","-$2,458.46"
2023-05,Project A,"$8,843.00","$3,143.30","$2,702.00","$1,000.00",$901.00,$517.00,$855.00,"$5,975.00",-$275.30
2023-05,Project B,"$5,161.00","$2,160.11","$2,995.00","$1,000.00",$769.00,$650.00,$570.00,"$5,984.00","-$2,983.11"
2023-05,Project C,"$17,743.00","$8,359.32","$3,275.00","$1,000.00","$1,516.00",$489.00,$595.00,"$6,875.00","$2,508.68"
2023-06,Project A,"$12,892.00","$5,370.85","$2,337.00","$1,000.00","$1,378.00",$352.00,$516.00,"$5,583.00","$1,938.15"
2023-06,Project B,"$9,859.00","$4,753.13","$2,492.00","$1,000.00","$1,564.00",$456.00,$314.00,"$5,826.00",-$720.13
2023-06,Project C,"$17,076.00","$5,504.71","$4,568.00","$1,000.00","$1,867.00",$428.00,$947.00,"$8,810.00","$2,761.29"
2023-07,Project A,"$14,687.00","$4,468.14","$3,522.00","$1,000.00","$1,092.00",$691.00,$974.00,"$7,279.00","$2,939.86"
2023-07,Project B,"$17,706.00","$9,408.63","$3,796.00","$1,000.00",$730.00,$340.00,$327.00,"$6,193.00","$2,104.37"
2023-07,Project C,"$11,278.00","$6,259.42","$2,779.00","$1,000.00","$1,429.00",$332.00,$347.00,"$5,887.00",-$868.42
2023-08,Project A,"$17,790.00","$6,996.71","$3,751.00","$1,000.00","$1,304.00",$398.00,$983.00,"$7,436.00","$3,357.29"
2023-08,Project B,"$19,183.00","$7,335.90","$3,570.00","$1,000.00","$1,460.00",$526.00,$912.00,"$7,468.00","$4,379.10"
2023-08,Project C,"$13,110.00","$6,738.19","$3,028.00","$1,000.00","$1,741.00",$554.00,$697.00,"$7,020.00",-$648.19
2023-09,Project A,"$14,062.00","$4,389.17","$2,206.00","$1,000.00","$1,538.00",$645.00,$853.00,"$6,242.00","$3,430.83"
2023-09,Project B,"$12,035.00","$4,000.04","$2,863.00","$1,000.00","$1,242.00",$540.00,$863.00,"$6,508.00","$1,526.96"
2023-09,Project C,"$10,116.00","$4,578.21","$3,757.00","$1,000.00",$984.00,$706.00,$530.00,"$6,977.00","-$1,439.21"
2023-10,Project A,"$11,892.00","$5,493.54","$2,540.00","$1,000.00","$1,559.00",$312.00,$459.00,"$5,870.00",$528.46
2023-10,Project B,"$14,914.00","$7,582.81","$3,819.00","$1,000.00","$1,077.00",$469.00,$856.00,"$7,221.00",$110.19
2023-10,Project C,"$14,789.00","$7,246.92","$4,693.00","$1,000.00","$1,295.00",$327.00,$919.00,"$8,234.00",-$691.92
2023-11,Project A,"$8,627.00","$3,666.07","$3,981.00","$1,000.00","$1,854.00",$427.00,$805.00,"$8,067.00","-$3,106.07"
2023-11,Project B,"$15,230.00","$8,663.24","$4,237.00","$1,000.00","$1,748.00",$684.00,$676.00,"$8,345.00","-$1,778.24"
2023-11,Project C,"$6,306.00","$2,699.80","$4,675.00","$1,000.00","$1,472.00",$532.00,$558.00,"$8,237.00","-$4,630.80"
2023-12,Project A,"$12,526.00","$4,376.54","$3,434.00","$1,000.00","$1,148.00",$617.00,$976.00,"$7,175.00",$974.46
2023-12,Project B,"$18,545.00","$7,441.82","$3,998.00","$1,000.00","$1,897.00",$459.00,$907.00,"$8,261.00","$2,842.18"
2023-12,Project C,"$6,495.00","$3,318.33","$3,136.00","$1,000.00",$941.00,$351.00,$567.00,"$5,995.00","-$2,818.33"
2024-01,Project A,"$8,581.00","$4,366.80","$3,636.00","$1,000.00","$1,451.00",$380.00,$998.00,"$7,465.00","-$3,250.80"
2024-01,Project B,"$15,352.00","$9,103.50","$4,267.00","$1,000.00","$1,354.00",$784.00,$524.00,"$7,929.00","-$1,680.50"
2024-01,Project C,"$11,528.00","$4,286.90","$3,153.00","$1,000.00","$1,576.00",$471.00,$971.00,"$7,171.00",$70.10
2024-02,Project A,"$14,925.00","$5,561.30","$2,835.00","$1,000.00","$1,962.00",$502.00,$483.00,"$6,782.00","$2,581.70"
2024-02,Project B,"$9,218.00","$3,435.07","$2,293.00","$1,000.00",$779.00,$624.00,$909.00,"$5,605.00",$177.93
2024-02,Project C,"$5,197.00","$2,180.91","$4,799.00","$1,000.00",$643.00,$396.00,$500.00,"$7,338.00","-$4,321.91"
2024-03,Project A,"$14,339.00","$6,487.82","$4,511.00","$1,000.00","$1,872.00",$558.00,$959.00,"$8,900.00","-$1,048.82"
2024-03,Project B,"$7,811.00","$3,931.04","$4,450.00","$1,000.00","$1,869.00",$750.00,$810.00,"$8,879.00","-$4,999.04"
2024-03,Project C,"$13,338.00","$5,396.55","$3,734.00","$1,000.00",$988.00,$716.00,$939.00,"$7,377.00",$564.45
2024-04,Project A,"$11,694.00","$6,794.44","$2,640.00","$1,000.00",$972.00,$733.00,$450.00,"$5,795.00",-$895.44
2024-04,Project B,"$10,534.00","$5,932.77","$3,634.00","$1,000.00",$762.00,$551.00,$443.00,"$6,390.00","-$1,788.77"
2024-04,Project C,"$19,681.00","$11,703.32","$2,880.00","$1,000.00",$501.00,$684.00,$603.00,"$5,668.00","$2,309.68"
2024-05,Project A,"$19,589.00","$11,149.37","$3,183.00","$1,000.00","$1,514.00",$308.00,$532.00,"$6,537.00","$1,902.63"
2024-05,Project B,"$8,170.00","$4,167.58","$4,255.00","$1,000.00","$1,654.00",$703.00,$451.00,"$8,063.00","-$4,060.58"
2024-05,Project C,"$11,197.00","$5,978.78","$2,627.00","$1,000.00","$1,086.00",$412.00,$719.00,"$5,844.00",-$625.78
2024-06,Project A,"$14,637.00","$7,328.69","$2,253.00","$1,000.00","$1,750.00",$411.00,$809.00,"$6,223.00","$1,085.31"
2024-06,Project B,"$10,592.00","$5,285.94","$3,884.00","$1,000.00","$1,413.00",$683.00,$637.00,"$7,617.00","-$2,310.94"
2024-06,Project C,"$16,969.00","$8,612.93","$2,956.00","$1,000.00",$660.00,$367.00,$697.00,"$5,680.00","$2,676.07"
2024-07,Project A,"$14,492.00","$5,125.05","$3,527.00","$1,000.00","$1,915.00",$434.00,$494.00,"$7,370.00","$1,996.95"
2024-07,Project B,"$9,496.00","$3,726.40","$4,735.00","$1,000.00",$959.00,$742.00,$769.00,"$8,205.00","-$2,435.40"
2024-07,Project C,"$8,446.00","$3,168.42","$3,693.00","$1,000.00",$537.00,$529.00,$664.00,"$6,423.00","-$1,145.42"
2024-08,Project A,"$13,754.00","$7,806.96","$4,074.00","$1,000.00",$725.00,$576.00,$908.00,"$7,283.00","-$1,335.96"
2024-08,Project B,"$19,619.00","$9,822.79","$3,504.00","$1,000.00",$952.00,$616.00,$958.00,"$7,030.00","$2,766.21"
2024-08,Project C,"$12,683.00","$3,897.42","$2,016.00","$1,000.00","$1,695.00",$519.00,$457.00,"$5,687.00","$3,098.58"
2024-09,Project A,"$15,716.00","$6,032.87","$4,565.00","$1,000.00",$598.00,$679.00,$336.00,"$7,178.00","$2,505.13"
2024-09,Project B,"$7,327.00","$2,925.12","$2,301.00","$1,000.00",$680.00,$394.00,$398.00,"$4,773.00",-$371.12
2024-09,Project C,"$5,699.00","$3,168.09","$2,190.00","$1,000.00",$752.00,$768.00,$460.00,"$5,170.00","-$2,639.09"
2024-10,Project A,"$8,327.00","$3,710.38","$4,065.00","$1,000.00","$1,065.00",$357.00,$622.00,"$7,109.00","-$2,492.38"
2024-10,Project B,"$6,895.00","$2,214.16","$2,625.00","$1,000.00","$1,811.00",$730.00,$962.00,"$7,128.00","-$2,447.16"
2024-10,Project C,"$8,009.00","$3,013.38","$4,537.00","$1,000.00","$1,909.00",$773.00,$403.00,"$8,622.00","-$3,626.38"
2024-11,Project A,"$13,096.00","$4,465.56","$2,245.00","$1,000.00","$1,699.00",$338.00,$776.00,"$6,058.00","$2,572.44"
2024-11,Project B,"$10,801.00","$5,862.87","$3,890.00","$1,000.00","$1,420.00",$707.00,$824.00,"$7,841.00","-$2,902.87"
2024-11,Project C,"$11,971.00","$5,427.68","$2,035.00","$1,000.00","$1,184.00",$319.00,$620.00,"$5,158.00","$1,385.32"
2024-12,Project A,"$17,039.00","$8,699.94","$2,399.00","$1,000.00","$1,153.00",$759.00,$770.00,"$6,081.00","$2,258.06"
2024-12,Project B,"$14,358.00","$5,925.19","$2,833.00","$1,000.00","$1,226.00",$746.00,$350.00,"$6,155.00","$2,277.81"
2024-12,Project C,"$16,928.00","$5,865.76","$3,148.00","$1,000.00",$649.00,$613.00,$869.00,"$6,279.00","$4,783.24"
